"Anno","Sesso","Popolazione inizio periodo","Nati","Morti","Iscritti dall'interno","Cancellati per l'interno","Iscritti dall'estero","Cancellati per l'estero","Acquisizioni di cittadinanza italiana","Popolazione fine periodo"
"2001","Maschi","660694","2506","179","9187","9187","11731","8289","800","665663"
"2001","Femmine","674195","2326","139","6627","6627","12196","11531","1296","675751"
"2001","Totale","1334889","4832","318","15814","15814","23927","19820","2096","1341414"
"2002","Maschi","665663","17352","1251","86631","86631","93070","31739","4451","738644"
"2002","Femmine","675751","16231","886","68643","68643","96044","34700","7807","744633"
"2002","Totale","1341414","33583","2137","155274","155274","189114","66439","12258","1483277"
"2003","Maschi","738644","17455","1550","91404","91404","220695","29358","6427","939459"
"2003","Femmine","744633","16230","1008","76546","76546","230774","25405","10756","954468"
"2003","Totale","1483277","33685","2558","167950","167950","451469","54763","17183","1893927"
"2004","Maschi","939459","25177","1689","122049","122049","215074","38104","7966","1131951"
"2004","Femmine","954468","23746","1242","106781","106781","205279","34027","11157","1137067"
"2004","Totale","1893927","48923","2931","228830","228830","420353","72131","19123","2269018"
"2005","Maschi","1131951","26893","1890","134440","134440","139379","47034","14165","1235134"
"2005","Femmine","1137067","25072","1241","116253","116253","157693","40836","14478","1263277"
"2005","Totale","2269018","51965","3131","250693","250693","297072","87870","28643","2498411"
"2006","Maschi","1235134","29722","2052","138886","138886","121526","50520","14858","1318952"
"2006","Femmine","1263277","28043","1395","124461","124461","147354","43807","20402","1373070"
"2006","Totale","2498411","57765","3447","263347","263347","268880","94327","35260","2692022"
"2007","Maschi","1318952","33056","2167","139880","139880","244216","48799","16582","1528676"
"2007","Femmine","1373070","30991","1501","130566","130566","290655","41461","28877","1622877"
"2007","Totale","2692022","64047","3668","270446","270446","534871","90260","45459","3151553"
"2008","Maschi","1528676","37404","2437","139712","139712","235053","63878","20976","1713842"
"2008","Femmine","1622877","35065","1841","140880","140880","274701","53088","32703","1845011"
"2008","Totale","3151553","72469","4278","280592","280592","509754","116966","53679","3558853"
"2009","Maschi","1713842","39984","2787","128741","128741","187823","83000","27221","1828641"
"2009","Femmine","1845011","37125","1981","140804","140804","229510","69816","32141","2007708"
"2009","Totale","3558853","77109","4768","269545","269545","417333","152816","59362","3836349"
"2010","Maschi","1828641","40257","2952","131310","131310","193995","97240","32561","1930140"
"2010","Femmine","2007708","37825","2172","147309","147309","240674","79469","33371","2171195"
"2010","Totale","3836349","78082","5124","278619","278619","434669","176709","65932","4101335"
"2011","Maschi","1930140","40788","3154","127589","127589","179837","98297","26517","2022797"
"2011","Femmine","2171195","38286","2470","144734","144734","196745","77722","29630","2296404"
"2011","Totale","4101335","79074","5624","272323","272323","376582","176019","56147","4319201"
"2012","Maschi","2022797","41197","3035","158629","158629","177479","40030","30371","2168037"
"2012","Femmine","2296404","38697","2519","181141","181141","182044","37158","35012","2442456"
"2012","Totale","4319201","79894","5554","339770","339770","359523","77188","65383","4610493"
"2013","Maschi","2168037","39965","3221","160214","160214","150780","53834","48984","2252743"
"2013","Femmine","2442456","37740","2649","183884","183884","158431","49827","51728","2534423"
"2013","Totale","4610493","77705","5870","344098","344098","309211","103661","100712","4787166"
"2014","Maschi","2252743","38664","3134","143697","143697","133381","84575","66125","2270954"
"2014","Femmine","2534423","36403","2658","162467","162467","133661","73776","63762","2564291"
"2014","Totale","4787166","75067","5792","306164","306164","267042","158351","129887","4835245"
"2015","Maschi","2270954","37112","3460","140153","140153","139968","78134","89223","2277217"
"2015","Femmine","2564291","34984","3037","155805","155805","119790","73391","88812","2553825"
"2015","Totale","4835245","72096","6497","295958","295958","259758","151525","178035","4831042"
"2016","Maschi","2277217","35915","3496","142384","142384","152932","75087","103263","2284218"
"2016","Femmine","2553825","33464","3031","151999","151999","118878","70393","98328","2534415"
"2016","Totale","4831042","69379","6527","294383","294383","271810","145480","201591","4818633"
"2017","Maschi","2284218","34883","3907","146507","146507","184265","89313","71984","2338162"
"2017","Femmine","2534415","33050","3399","150335","150335","130302","74458","74621","2545289"
"2017","Totale","4818633","67933","7306","296842","296842","314567","163771","146605","4883451"
"2018","Maschi","2338162","33671","4017","158235","158235","169845","72174","51202","2414285"
"2018","Femmine","2545289","31773","3673","151232","151232","133554","63749","61321","2581873"
"2018","Totale","4883451","65444","7690","309467","309467","303399","135923","112523","4996158"